name,province,memberShip,985,211
中国空间技术研究院510所,甘肃,工业与信息化部,0,0
西安微电子技术研究所（航天771所）,陕西,工业与信息化部,0,0
中国航天科技集团公司第十一研究院,北京,工业与信息化部,0,0
中国航天科技集团公司六院十一所,陕西,工业与信息化部,0,0
上海航天技术研究院(航天八院),上海,工业与信息化部,0,0
中国航天科工集团第十研究院,贵州,工业与信息化部,0,0
煤炭科学研究总院,北京,转制科研单位,0,0
中国石油勘探开发研究院,北京,中国石油天然气集团公司,0,0
北京化工研究院,北京,中国石油化工集团公司,0,0
上海化工研究院,上海,上海市,0,0
沈阳化工研究院,辽宁,转制科研单位,0,0
北京橡胶工业研究设计院,北京,转制科研单位,0,0
天华化工机械及自动化研究设计院,甘肃,甘肃省,0,0
轻工业环境保护研究所,北京,北京市,0,0
中国日用化学工业研究院,山西,转制科研单位,0,0
中国食品发酵工业研究院,北京,转制科研单位,0,0
中国制浆造纸研究院,北京,转制科研单位,0,0
中国铁道科学研究院,北京,铁道部,0,0
上海船舶运输科学研究所,上海,交通运输部,0,0
交通运输部公路科学研究所,北京,交通运输部,0,0
